Orphanum	Name	ICD10 Reference
58	Alexander disease	E75.2
61	Alpha-mannosidosis	E77.1
93	Aspartylglucosaminuria	E77.1
585	Mucosulfatidosis	E75.2
118	Beta-mannosidosis	E77.1
141	Canavan disease	E75.2
206	Crohn disease	K50
213	Cystinosis	E72.0
333	Farber lipogranulomatosis	E75.2
349	Fucosidosis	E77.1
365	Glycogen storage disease type 2	E74.0
366	Glycogen debranching enzyme deficiency	E74.0
367	Glycogen branching enzyme deficiency	E74.0
368	Myophosphorylase deficiency	E74.0
369	Liver phosphorylase deficiency	E74.0
371	Muscle phosphofructokinase deficiency	E74.0
447	Paroxysmal nocturnal hemoglobinuria	D59.5
487	Krabbe disease	E75.2
535	Cutaneous lupus erythematosus	L93
583	Mucopolysaccharidosis type 6	E76.2
812	Sialidosis type 1	E77.1
576	Mucolipidosis type 2	E77.0
577	Mucolipidosis type 3	E77.0
578	Mucolipidosis type 4	E75.1
645	Niemann-Pick disease	E75.2
2912	Poliomyelitis	A80
771	Ulcerative colitis	K51
796	Sandhoff disease	E75.0
801	Scleroderma	M34
584	Mucopolysaccharidosis type 7	E76.2
825	Ankylosing spondylitis	M45
461	X-linked ichthyosis	Q80.1
856	Tourette syndrome	F95.2
881	Turner syndrome	Q96
95	Friedreich ataxia	G11.1
586	Cystic fibrosis	E84
846	Alpha-thalassemia	D56.0
848	Beta-thalassemia	D56.1
262	Duchenne and Becker muscular dystrophy	G71.0
261	Emery-Dreifuss muscular dystrophy	G71.0
480	Kearns-Sayre syndrome	H49.8
269	Facioscapulohumeral dystrophy	G71.0
550	MELAS syndrome	G71.3
551	MERRF syndrome	G40.3
597	Central core disease	G71.2
607	Nemaline myopathy	G71.2
593	Myofibrillary myopathy	G72.8
614	Thomsen and Becker disease	G71.1
684	Paramyotonia congenita of Von Eulenburg	G71.1
273	Steinert myotonic dystrophy	G71.1
72	Angelman syndrome	Q93.5
778	Rett syndrome	F84.2
324	Fabry disease	E75.2
731	Autosomal recessive polycystic kidney disease	Q61.1
892	Von Hippel-Lindau disease	Q85.8
1941	Juvenile absence epilepsy	G40.3
307	Juvenile myoclonic epilepsy	G40.3
100	Ataxia-telangiectasia	G11.3
733	Familial adenomatous polyposis	D12.6
803	Amyotrophic lateral sclerosis	G12.2
802	Multiple sclerosis	G35
558	Marfan syndrome	Q87.4
138	CHARGE syndrome	Q87.8
512	Metachromatic leukodystrophy	E75.2
870	Down syndrome	Q90
501	Lafora disease	G40.3
399	Huntington disease	G10
908	Fragile X syndrome	Q99.2
652	Multiple endocrine neoplasia type 1	D44.8
790	Retinoblastoma	C69.2
534	Lowe syndrome	E72.0
536	Systemic lupus erythematosus	M32
232	Sickle cell anemia	D57
567	Monosomy 22q11	D82.1
580	Mucopolysaccharidosis type 2	E76.1
579	Mucopolysaccharidosis type 1	E76.0
905	Wilson disease	E83.0
3099	Rheumatic fever	I00
3099	Rheumatic fever	I01
739	Prader-Willi syndrome	Q87.1
47	X-linked agammaglobulinemia	D80.0
906	Wiskott-Aldrich syndrome	D82.0
904	Williams syndrome	Q87.8
280	Wolf-Hirschhorn syndrome	Q93.3
15	Achondroplasia	Q77.4
96	Friedreich-like ataxia with selective vitamin E deficiency	E56.0
96	Friedreich-like ataxia with selective vitamin E deficiency	G11.1
101	Dentatorubral-pallidoluysian atrophy	G11.8
783	Rubinstein-Taybi syndrome	Q87.2
792	X-linked retinoschisis	H33.1
792	X-linked retinoschisis	Q14.1
383	Gusher syndrome	H90.8
827	Stargardt disease	H35.5
437	Vitamin D resistant rickets	E83.3
429	Hypochondroplasia	Q77.4
436	Hypophosphatasia	E83.3
2182	Hydrocephalus due to stenosis of aqueduct of Sylvius	Q03.8
104	Leber hereditary optic neuropathy	H47.2
664	Ornithine carbamoyltransferase deficiency	E72.2
481	Kennedy disease	G12.2
276	Severe combined immunodeficiency T- B+ due to gamma chain deficiency	D81.2
631	Nonacquired isolated growth hormone deficiency	E23.0
