Name of the table	ORPHA number	Disease label	MIM code
PatRef	58	Alexander disease	203450
PatRef	61	Alpha-mannosidosis	248500
PatRef	93	Aspartylglucosaminuria	208400
PatRef	585	Mucosulfatidosis	272200
PatRef	118	Beta-mannosidosis	248510
PatRef	141	Canavan disease	271900
PatRef	206	Crohn disease	266600
PatRef	206	Crohn disease	601458
PatRef	206	Crohn disease	604519
PatRef	206	Crohn disease	605225
PatRef	206	Crohn disease	606348
PatRef	206	Crohn disease	606668
PatRef	206	Crohn disease	606674
PatRef	206	Crohn disease	606675
PatRef	206	Crohn disease	608448
PatRef	206	Crohn disease	611081
PatRef	206	Crohn disease	612241
PatRef	206	Crohn disease	612255
PatRef	206	Crohn disease	612259
PatRef	206	Crohn disease	612261
PatRef	206	Crohn disease	612262
PatRef	206	Crohn disease	612278
PatRef	206	Crohn disease	612288
PatRef	206	Crohn disease	612354
PatRef	206	Crohn disease	612380
PatRef	206	Crohn disease	612381
PatRef	206	Crohn disease	612566
PatRef	206	Crohn disease	612567
PatRef	206	Crohn disease	612639
PatRef	206	Crohn disease	612796
PatRef	206	Crohn disease	613148
PatRef	213	Cystinosis	219750
PatRef	213	Cystinosis	219800
PatRef	213	Cystinosis	219900
PatRef	333	Farber lipogranulomatosis	228000
PatRef	349	Fucosidosis	230000
PatRef	365	Glycogen storage disease type 2	232300
PatRef	366	Glycogen storage disease type 3	232400
PatRef	367	Glycogen storage disease type 4	232500
PatRef	368	Glycogen storage disease type 5	232600
PatRef	369	Glycogen storage disease due to liver phosphorylase deficiency	232700
PatRef	371	Glycogen storage disease type 7	232800
PatRef	447	Paroxysmal nocturnal hemoglobinuria	300818
PatRef	487	Krabbe disease	245200
PatRef	583	Mucopolysaccharidosis type 6	253200
PatRef	812	Sialidosis type 1	256550
PatRef	576	Mucolipidosis type 2	252500
PatRef	577	Mucolipidosis type 3	252600
PatRef	577	Mucolipidosis type 3	252605
PatRef	578	Mucolipidosis type 4	252650
PatRef	645	Niemann-Pick disease	257200
PatRef	645	Niemann-Pick disease	257220
PatRef	645	Niemann-Pick disease	607616
PatRef	771	Ulcerative colitis	191390
PatRef	771	Ulcerative colitis	266600
PatRef	771	Ulcerative colitis	612241
PatRef	771	Ulcerative colitis	612255
PatRef	771	Ulcerative colitis	612259
PatRef	771	Ulcerative colitis	612261
PatRef	771	Ulcerative colitis	612262
PatRef	771	Ulcerative colitis	612278
PatRef	771	Ulcerative colitis	612288
PatRef	771	Ulcerative colitis	612354
PatRef	771	Ulcerative colitis	612380
PatRef	771	Ulcerative colitis	612381
PatRef	771	Ulcerative colitis	612566
PatRef	771	Ulcerative colitis	612567
PatRef	771	Ulcerative colitis	612639
PatRef	771	Ulcerative colitis	612796
PatRef	771	Ulcerative colitis	613148
PatRef	796	Sandhoff disease	268800
PatRef	584	Mucopolysaccharidosis type 7	253220
PatRef	825	Ankylosing spondylitis	106300
PatRef	461	X-linked ichthyosis	300001
PatRef	461	X-linked ichthyosis	308100
PatRef	856	Tourette syndrome	137580
PatRef	95	Friedreich ataxia	229300
PatRef	95	Friedreich ataxia	601992
PatRef	586	Cystic fibrosis	219700
PatRef	846	Alpha-thalassemia	141800
PatRef	846	Alpha-thalassemia	604131
PatRef	848	Beta-thalassemia	141900
PatRef	848	Beta-thalassemia	604131
PatRef	262	Duchenne and Becker muscular dystrophy	159050
PatRef	262	Duchenne and Becker muscular dystrophy	300376
PatRef	262	Duchenne and Becker muscular dystrophy	310200
PatRef	261	Emery-Dreifuss muscular dystrophy	181350
PatRef	261	Emery-Dreifuss muscular dystrophy	310300
PatRef	261	Emery-Dreifuss muscular dystrophy	612998
PatRef	261	Emery-Dreifuss muscular dystrophy	612999
PatRef	480	Kearns-Sayre syndrome	530000
PatRef	269	Facioscapulohumeral myopathy	158900
PatRef	269	Facioscapulohumeral myopathy	158901
PatRef	269	Facioscapulohumeral myopathy	600416
PatRef	550	MELAS syndrome	540000
PatRef	551	MERRF syndrome	545000
PatRef	597	Central core disease	117000
PatRef	607	Nemaline myopathy	161800
PatRef	607	Nemaline myopathy	256030
PatRef	607	Nemaline myopathy	605355
PatRef	607	Nemaline myopathy	609273
PatRef	607	Nemaline myopathy	609284
PatRef	607	Nemaline myopathy	609285
PatRef	607	Nemaline myopathy	610687
PatRef	614	Thomsen and Becker disease	160800
PatRef	614	Thomsen and Becker disease	255700
PatRef	684	Paramyotonia congenita of Von Eulenburg	168300
PatRef	273	Steinert myotonic dystrophy	160900
PatRef	72	Angelman syndrome	105830
PatRef	778	Rett syndrome	312750
PatRef	324	Fabry disease	301500
PatRef	731	Autosomal recessive polycystic kidney disease	263200
PatRef	892	Von Hippel-Lindau disease	193300
PatRef	1941	Juvenile absence epilepsy	607631
PatRef	307	Juvenile myoclonic epilepsy	254770
PatRef	307	Juvenile myoclonic epilepsy	604827
PatRef	307	Juvenile myoclonic epilepsy	608816
PatRef	100	Ataxia-telangiectasia	208900
PatRef	100	Ataxia-telangiectasia	604391
PatRef	733	Familial adenomatous polyposis	175100
PatRef	733	Familial adenomatous polyposis	276300
PatRef	803	Amyotrophic lateral sclerosis	105400
PatRef	803	Amyotrophic lateral sclerosis	205100
PatRef	803	Amyotrophic lateral sclerosis	205200
PatRef	803	Amyotrophic lateral sclerosis	205250
PatRef	803	Amyotrophic lateral sclerosis	602099
PatRef	803	Amyotrophic lateral sclerosis	602433
PatRef	803	Amyotrophic lateral sclerosis	606640
PatRef	803	Amyotrophic lateral sclerosis	608030
PatRef	803	Amyotrophic lateral sclerosis	608031
PatRef	803	Amyotrophic lateral sclerosis	608627
PatRef	803	Amyotrophic lateral sclerosis	611895
PatRef	803	Amyotrophic lateral sclerosis	612069
PatRef	803	Amyotrophic lateral sclerosis	612577
PatRef	803	Amyotrophic lateral sclerosis	613435
PatRef	802	Multiple sclerosis	126200
PatRef	802	Multiple sclerosis	612594
PatRef	802	Multiple sclerosis	612595
PatRef	802	Multiple sclerosis	612596
PatRef	558	Marfan syndrome	154700
PatRef	138	CHARGE syndrome	214800
PatRef	512	Metachromatic leukodystrophy	156310
PatRef	512	Metachromatic leukodystrophy	249900
PatRef	512	Metachromatic leukodystrophy	250100
PatRef	870	Trisomy 21	190685
PatRef	870	Trisomy 21	605296
PatRef	501	Lafora disease	254780
PatRef	399	Huntington disease	143100
