Name of the table	ORPHA number	Disease label	Source	Reference
PatRef	58	Alexander disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=alexander+disease%5Bti%5D+OR+alexander%27s+disease%5Bti%5D+OR+%22alexander+disease%22%5BMeSH+Terms%5D
PatRef	61	Alpha-mannosidosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=alpha+mannosidosis%5Bmh%5D+OR+alpha+mannosidosis%5Bti%5D
PatRef	93	Aspartylglucosaminuria	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Aspartylglucosaminuria%5Bti%5D+OR+%28Lysosomal+Storage+Diseases%5Bmh%5D+AND+Aspartylglucosylaminase%5Bmajr%5D%29
PatRef	585	Mucosulfatidosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=multiple+sulfatase+deficiency%5Bti%5D+OR+SUMF1%5Bti%5D+OR+mucosulfatidosis%5Bti%5D+OR+sphingolipidoses%5Bti%5D+OR+sphingolipidoses%5Bmh%3Anoexp%5D
PatRef	118	Beta-mannosidosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=beta+mannosidos*%5Bti%5D+OR+beta+mannosidosis%5Bmh%5D+OR+%28Beta+mannosidase%5Btw%5D+AND+deficiency%5Btw%5D%29
PatRef	141	Canavan disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=canavan+disease%5Bmh%5D+OR+Canavan+disease%5BTi%5D
PatRef	206	Crohn disease	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=%22crohn+disease%22%5BMeSH+Terms%5D+OR+%28%28crohn+disease%5BTI%5D+OR+Crohn%27s+disease%5BTI%5D%29+NOT+medline%5BSB%5D%29
PatRef	213	Cystinosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=cystinosis%5Bmajr%5D
PatRef	333	Farber lipogranulomatosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Farber%5Btw%5D+%28lipogranulomatos*%5Btw%5D+OR+lysosomal+storage+dis*%5Ball%5D+OR+lipid+metabolism%2C+inborn+errors%5Bmh%5D%29
PatRef	349	Fucosidosis	PubMed	http://www.ncbi.nlm.nih.gov/sites/entrez?Db=pubmed&Cmd=Search&Term=Fucosidosis%5Bmh%5D+OR+Fucosidosis%5Bti%5D
