Name of the table	ORPHA number	Disease label	Type of label (Pat= main name; syn= synonym)
PatAls	58	Alexander disease	Pat
PatAls	61	Alpha-mannosidosis	Pat
PatAls	61	Lysosomal alpha-D-mannosidase deficiency	Syn
PatAls	93	Aspartylglucosaminuria	Pat
PatAls	93	Aspartylglucosaminidase deficiency	Syn
PatAls	585	Mucosulfatidosis	Pat
PatAls	585	Multiple sulfatase deficiency	Syn
PatAls	585	Sulfatidosis juvenile, Austin type	Syn
PatAls	118	Beta-mannosidosis	Pat
PatAls	118	Beta-mannosidase deficiency	Syn
PatAls	141	Canavan disease	Pat
PatAls	141	Aspartoacylase deficiency	Syn
PatAls	141	Spongy degeneration of central nervous system	Syn
PatAls	206	Crohn disease	Pat
PatAls	213	Cystinosis	Pat
PatAls	213	Cystin transport, protein defect of	Syn
PatAls	333	Ceramidase deficiency	Syn
PatAls	333	Farber lipogranulomatosis	Pat
PatAls	349	Fucosidosis	Pat
PatAls	349	Alpha-L-fucosidase deficiency	Syn
PatAls	365	GSD type 2	Syn
PatAls	365	Pompe disease	Syn
PatAls	365	Type 2 glycogenosis	Syn
PatAls	365	Acid maltase deficiency	Syn
PatAls	365	Glycogen storage disease type 2	Pat
PatAls	365	Glucosidase acid-1,4-alpha deficiency	Syn
PatAls	366	GSD type 3	Syn
PatAls	366	Type 3 glycogenosis	Syn
PatAls	366	Glycogen storage disease type 3	Pat
PatAls	366	Glycogen debranching deficiency	Syn
PatAls	366	Amylo-1,6-glucosidase deficiency	Syn
PatAls	367	GSD type 4	Syn
PatAls	367	Amylopectinosis	Syn
PatAls	367	Andersen disease	Syn
PatAls	367	Type 4 glycogenosis	Syn
PatAls	367	Glycogen branching deficiency	Syn
PatAls	367	Glycogen storage disease type 4	Pat
PatAls	368	GSD type 5	Syn
PatAls	368	McArdle disease	Syn
PatAls	368	Type 5 glycogenosis	Syn
PatAls	368	Myophosphorylase deficiency	Syn
PatAls	368	Glycogen storage disease type 5	Pat
PatAls	369	GSD type 6B	Syn
PatAls	369	Hers disease	Syn
PatAls	369	Glycogen storage disease type 6B	Syn
PatAls	369	GSD due to liver phosphorylase deficiency	Syn
PatAls	369	Glycogenosis due to liver phosphorylase deficiency	Syn
PatAls	369	Glycogen storage disease due to liver phosphorylase deficiency	Pat
PatAls	371	GSD type 7	Syn
PatAls	371	Tarui disease	Syn
PatAls	371	Type 7 glycogenosis	Syn
PatAls	371	Glycogen storage disease type 7	Pat
PatAls	371	Muscle phosphofructokinase deficiency	Syn
PatAls	447	PNH	Syn
PatAls	447	Marchiafava-Micheli disease	Syn
PatAls	447	Paroxysmal nocturnal hemoglobinuria	Pat
PatAls	487	Krabbe disease	Pat
PatAls	487	Globoid cell leukodystrophy	Syn
PatAls	487	Galactocerebrosidase deficiency	Syn
PatAls	535	Lupus erythematosus, cutaneous	Pat
PatAls	583	ARSB deficency	Syn
PatAls	583	Maroteaux-Lamy syndrome	Syn
PatAls	583	Arylsulfatase B deficiency	Syn
PatAls	583	Mucopolysaccharidosis type 6	Pat
PatAls	583	N-acetylgalactosamine 4-sulfatase deficiency	Syn
PatAls	812	Sialidosis type 1	Pat
PatAls	812	Normomorphic sialidosis	Syn
PatAls	812	Lipomucopolysaccharidosis	Syn
PatAls	812	Cherry-red-spot, myoclonus syndrome	Syn
PatAls	576	I-cell disease	Syn
PatAls	576	Mucolipidosis type 2	Pat
PatAls	576	N-acetyl-glucosamine 1-phosphotransferase deficiency	Syn
PatAls	577	Mucolipidosis type 3	Pat
PatAls	577	Pseudo-Hurler polydystrophy	Syn
PatAls	578	Mucolipidosis type 4	Pat
PatAls	645	Niemann-Pick disease	Pat
PatAls	645	Sphingomyelinase deficiency	Syn
PatAls	2912	Poliomyelitis	Pat
PatAls	771	Ulcerative colitis	Pat
PatAls	796	Sandhoff disease	Pat
PatAls	796	GM2 gangliosidosis, 0 variant	Syn
PatAls	796	Hexosaminidases A and B deficiency	Syn
PatAls	801	Scleroderma	Pat
PatAls	584	Sly disease	Syn
PatAls	584	Mucopolysaccharidosis type 7	Pat
PatAls	584	Beta-glucuronidase deficiency	Syn
PatAls	825	Bechterew syndrome	Syn
PatAls	825	Ankylosing spondylarthritis	Pat
PatAls	461	Ichthyosis, X-linked	Pat
PatAls	461	Steroid sulfatase deficiency	Syn
PatAls	856	Tourette syndrome	Pat
PatAls	856	Gilles de la Tourette syndrome	Syn
PatAls	881	Monosomy X	Syn
PatAls	881	Turner syndrome	Pat
PatAls	95	Friedreich ataxia	Pat
PatAls	586	Cystic fibrosis	Pat
PatAls	846	Alpha-thalassemia	Pat
PatAls	848	Cooley anemia	Syn
PatAls	848	Beta-thalassemia	Pat
PatAls	262	Duchenne and Becker dystrophinopathy	Syn
PatAls	262	Duchenne and Becker muscular dystrophy	Pat
PatAls	261	EDMD	Syn
PatAls	261	Emerinopathy	Syn
PatAls	261	Emery-Dreifuss muscular dystrophy	Pat
PatAls	480	Kearns-Sayre syndrome	Pat
PatAls	269	Landouzy-Dejerine myopathy	Syn
PatAls	269	Facioscapulohumeral muscular myopathy	Pat
PatAls	269	Facioscapulohumeral muscular dystrophy	Syn
PatAls	550	MELAS syndrome	Pat
PatAls	550	Mitochondrial myopathy-encephalopathy-lactic acidosis	Syn
PatAls	551	MERRF syndrome	Pat
PatAls	551	Fukuhara syndrome	Syn
PatAls	551	Myoclonus epilepsy associated with ragged-red fibers	Syn
PatAls	597	Central core disease	Pat
PatAls	607	Rod myopathy	Syn
PatAls	607	Nemaline myopathy	Pat
PatAls	593	Myofibrillary myopathy	Pat
PatAls	614	Myotonia congenita	Syn
PatAls	614	Thomsen and Becker disease	Pat
PatAls	684	Paramyotonia congenita of Von Eulenburg	Pat
PatAls	273	Steinert disease	Syn
PatAls	273	Myotonic dystrophy, type 1	Syn
PatAls	273	Steinert myotonic dystrophy	Pat
PatAls	72	Angelman syndrome	Pat
PatAls	778	Rett syndrome	Pat
PatAls	445	Hemochromatosis	Pat
PatAls	445	Hemochromatosis, familial	Syn
PatAls	324	Fabry disease	Pat
PatAls	324	Anderson-Fabry disease	Syn
PatAls	324	Angiokeratoma, diffuse	Syn
PatAls	324	Alpha-galactosidase A deficiency	Syn
PatAls	731	Polycystic kidney disease, autosomal recessive	Pat
PatAls	892	Von Hippel-Lindau disease	Pat
PatAls	1941	JAE	Syn
PatAls	1941	Juvenile absence epilepsy	Pat
PatAls	307	Juvenile myoclonic epilepsy	Pat
PatAls	100	Louis-Bar syndrome	Syn
PatAls	100	Ataxia-telangiectasia	Pat
PatAls	733	FAP	Syn
PatAls	733	Familial polyposis coli	Syn
PatAls	733	Familial adenomatous polyposis	Pat
PatAls	733	Colorectal adenomatous polyposis	Syn
PatAls	803	ALS	Syn
PatAls	803	Charcot disease	Syn
PatAls	803	Lou-Gehrig disease	Syn
PatAls	803	Amyotrophic lateral sclerosis	Pat
PatAls	802	Multiple sclerosis	Pat
PatAls	558	Marfan syndrome	Pat
PatAls	138	CHARGE syndrome	Pat
PatAls	138	CHARGE association	Syn
PatAls	512	Arylsulfatase A deficiency	Syn
PatAls	512	Metachromatic leukodystrophy	Pat
PatAls	870	Trisomy 21	Pat
PatAls	870	Down syndrome	Syn
PatAls	501	Lafora disease	Pat
PatAls	501	Epilepsy progressive myoclonic type 2	Syn
PatAls	399	Huntington chorea	Syn
PatAls	399	Huntington disease	Pat
PatAls	908	FRAXA syndrome	Syn
PatAls	908	Fra-X syndrome	Syn
PatAls	908	Fragile X syndrome	Pat
PatAls	652	MEN 1	Syn
PatAls	652	Wermer syndrome	Syn
PatAls	652	Multiple endocrine neoplasia type 1	Pat
PatAls	790	Retinoblastoma	Pat
PatAls	534	OCRL1	Syn
PatAls	534	Lowe syndrome	Pat
PatAls	534	Oculocerebrorenal syndrome	Syn
PatAls	534	Lowe oculocerebrorenal syndrome	Syn
PatAls	534	Phosphatidylinositol 4,5-biphosphate 5-phosphatase deficiency	Syn
PatAls	536	SLE	Syn
PatAls	536	Lupus erythematosus, systemic	Pat
PatAls	536	Lupus erythematosus, disseminated	Syn
PatAls	232	Sickle cell anemia	Pat
PatAls	567	CATCH 22	Syn
PatAls	567	Monosomy 22q11	Pat
PatAls	567	DiGeorge sequence	Syn
PatAls	567	DiGeorge syndrome	Syn
PatAls	567	Microdeletion 22q11	Syn
PatAls	567	Sedlackova syndrome	Syn
PatAls	567	Shprintzen syndorme	Syn
PatAls	567	Velocardiofacial syndrome	Syn
PatAls	567	Conotruncal anomalies face syndrome	Syn
PatAls	580	Hunter syndrome	Syn
PatAls	580	Mucopolysaccharidosis type 2	Pat
PatAls	580	Iduronate 2-sulfatase deficiency	Syn
PatAls	579	MPS1	Syn
PatAls	579	Mucopolysaccharidosis type 1	Pat
PatAls	579	Alpha-L-iduronidase deficiency	Syn
PatAls	905	Wilson disease	Pat
PatAls	905	Hepatolenticular degeneration	Syn
PatAls	3099	Rheumatic fever	Pat
PatAls	739	Prader-Willi syndrome	Pat
PatAls	739	Willi-Prader syndrome	Syn
PatAls	47	BTK-deficiency	Syn
PatAls	47	X-linked agammaglobulinemia	Pat
PatAls	47	Bruton type agammaglobulinemia	Syn
PatAls	906	Wiskott-Aldrich syndrome	Pat
PatAls	906	Eczema-thrombocytopenia-immunodeficiency syndrome	Syn
PatAls	904	Deletion 7q11.23	Syn
PatAls	904	Monosomy 7q11.23	Syn
PatAls	904	Williams syndrome	Pat
PatAls	904	Williams-Beuren syndrome	Syn
PatAls	280	4p syndrome	Syn
PatAls	280	Distal deletion 4p	Syn
PatAls	280	Distal monosomy 4p	Syn
PatAls	280	Telomeric deletion 4p	Syn
PatAls	280	Wolf-Hirschhorn syndrome	Pat
PatAls	15	Achondroplasia	Pat
PatAls	96	AVED	Syn
PatAls	96	Isolated vitamin E deficiency	Syn
PatAls	96	Familial isolated vitamin E deficieny	Syn
PatAls	96	Ataxia, Friedreich-like, with selective vitamin E deficiency	Pat
PatAls	101	Naito-Oyanagi disease	Syn
PatAls	101	Dentatorubral pallidoluysian atrophy	Pat
PatAls	783	Rubinstein-Taybi syndrome	Pat
PatAls	783	16p13.3 deletion syndrome	Syn
PatAls	792	Retinoschisis, X-linked	Pat
PatAls	792	Retinoschisis, juvenile	Syn
PatAls	383	Gusher syndrome	Pat
PatAls	383	Deafness mixed with perilymph Gusher, X-linked	Syn
PatAls	383	Deafness mixed with perilymphatic Gusher, X-linked	Syn
PatAls	383	X-linked mixed conductive and neurosensory deafness	Syn
PatAls	383	X-linked mixed conductive and sensorineural deafness	Syn
PatAls	383	X-linked mixed conductive and neurosensory hearing loss	Syn
PatAls	383	X-linked mixed conductive and sensorineural hearing loss	Syn
PatAls	827	Stargardt disease	Pat
PatAls	827	Fundus flavimaculatus	Syn
PatAls	437	Vitamin D resistant rickets	Pat
PatAls	429	Hypochondroplasia	Pat
PatAls	436	Hypophosphatasia	Pat
PatAls	436	Rathburn disease	Syn
PatAls	436	Phosphoethanolaminuria	Syn
PatAls	2182	Bickers-Adams syndrome	Syn
PatAls	2182	Hydrocephalus due to stenosis of aqueduct of Sylvius	Pat
PatAls	104	Optic atrophy, Leber type	Syn
PatAls	104	Leber hereditary optic neuropathy	Pat
PatAls	664	Ornithine carbamoyltransferase deficiency	Pat
PatAls	481	Kennedy disease	Pat
PatAls	481	Bulbospinal amyotrophy, X-linked	Syn
PatAls	481	Spinal and bulbar muscular atrophy	Syn
PatAls	276	Severe combined immunodeficiency T- B+, X-linked	Syn
PatAls	276	Severe combined immunodeficiency T- B+ due to gamma chain deficiency	Pat
PatAls	631	IGHD	Syn
PatAls	631	GH isolated deficiency	Syn
PatAls	631	Nonacquired isolated growth hormone deficiency	Pat
PatAls	508	Leprechaunism	Pat
PatAls	508	Donohue syndrome	Syn
PatAls	394	Classical homocystinuria	Syn
PatAls	394	Cystathionine beta-synthase deficiency	Syn
PatAls	394	Homocystinuria due to cystathionine beta-synthase deficiency	Pat
PatAls	379	Granulomatous disease, chronic	Pat
PatAls	16	S-cone monochromatism	Syn
PatAls	16	Blue cone monochromatism	Pat
PatAls	16	Achromatopsia, atypical, X linked	Syn
PatAls	16	Achromatopsia incomplete, X-linked	Syn
PatAls	181	Christ-Siemens-Touraine syndrome	Pat
PatAls	181	Ectodermal dysplasia anhidrotic, X linked	Syn
PatAls	181	Ectodermal dysplasia hypohidrotic X linked	Syn
